"dcode","num_park54","num_park55","num_park56","num_park57","num_park58","num_park59","num_park60","num_park61","num_park62","area_park54","area_park55","area_park56","area_park57","area_park58","area_park59","area_park60","area_park61","area_park62","population54","population55","population56","population57","population58","population59","population60","population61","population62","ratio54","ratio55","ratio56","ratio57","ratio58","ratio59","ratio60","ratio61","ratio62"
"1001","89","95","97","98","108","111","0","0","113","401221.81","563001.81","567070","568117.81","585157.81","606289.56","0.00","0.00","627595.56","58771","57831","56684","55373","53899","52522","0","0","51231","6.83","9.74","10","10.26","10.86","11.54","0","0","12"
"1002","100","103","106","108","115","115","0","0","123","361593.19","363253.19","364333","365977.19","367809.19","361269.19","0.00","0.00","1185376.00","108815","107969","106811","104394","101576","98450","0","0","95852","3.32","3.36","3.41","3.51","3.62","3.67","0","0","12"
"1003","176","186","192","199","171","178","0","0","195","1162283.75","1268683.75","1.32948e+006","1394382.00","1329438.00","1376232.25","0.00","0.00","1424230.25","154371","157224","159962","162598","165281","167844","0","0","170643","7.53","8.07","8.31","8.58","8.04","8.20","0","0","8"
"1004","144","168","191","211","233","243","0","0","268","87102.04","103108.04","112934","120068.04","126519.04","133979.05","0.00","0.00","154968.77","46087","46112","46114","46472","46777","47308","0","0","47817","1.89","2.24","2.45","2.58","2.70","2.83","0","0","3"
"1005","43","44","54","62","68","72","0","0","76","474789.53","482989.53","536238","572784.00","665448.00","815448.00","0.00","0.00","1032750.75","188252","189737","190544","190659","190483","190828","0","0","190681","2.52","2.55","2.81","3.00","3.49","4.27","0","0","5"
"1006","119","121","127","136","143","157","0","0","172","644095.50","646015.50","742432","765112.38","770133.81","793635.31","0.00","0.00","810526.56","148645","148491","149056","148964","149102","148392","0","0","147800","4.33","4.35","4.98","5.14","5.17","5.35","0","0","5"
"1007","96","99","104","106","115","122","0","0","133","699892.13","700621.13","715021","713280.00","757036.00","776160.00","0.00","0.00","896952.00","54996","53912","52613","51557","50673","49594","0","0","49121","12.73","13.00","13.59","13.83","14.94","15.65","0","0","18"
"1008","131","133","136","142","146","112","0","0","116","265522.59","263601.00","264005","271279.00","274299.00","256314.64","0.00","0.00","256912.64","52093","50930","50092","49280","48585","47450","0","0","46581","5.10","5.18","5.27","5.50","5.65","5.40","0","0","6"
"1009","299","309","332","336","337","332","0","0","345","243367.77","247015.77","257960","261424.00","274561.75","279470.22","0.00","0.00","288507.78","94482","93461","92774","92448","92197","91305","0","0","90534","2.58","2.64","2.78","2.83","2.98","3.06","0","0","3"
"1010","123","142","165","196","215","226","0","0","167","755547.25","876187.25","985987","1076918.25","1219158.25","1248934.75","0.00","0.00","764297.25","136236","137295","138661","139771","140702","141214","0","0","141750","5.55","6.38","7.11","7.70","8.66","8.84","0","0","5"
"1011","94","99","99","107","118","114","0","0","164","494749.00","499949.00","502749","515804.00","434832.38","410592.38","0.00","0.00","486265.09","160850","163317","165724","168309","170070","171933","0","0","173987","3.08","3.06","3.03","3.06","2.56","2.39","0","0","3"
"1012","154","185","199","203","212","215","0","0","238","452777.16","462764.75","477860","465028.00","475464.00","489892.00","0.00","0.00","533186.69","82481","81529","81162","80843","80211","79574","0","0","78797","5.49","5.68","5.89","5.75","5.93","6.16","0","0","7"
"1013","118","126","132","133","97","97","0","0","98","36896.96","38176.96","40824","41646.00","41333.08","136060.20","0.00","0.00","136674.94","28001","27426","26932","26359","25694","24785","0","0","24150","1.32","1.39","1.52","1.58","1.61","5.49","0","0","6"
"1014","58","61","65","67","69","71","0","0","81","138260.00","141500.00","144800","148320.00","153711.00","174511.00","0.00","0.00","189112.05","73533","73084","72495","72203","71864","72102","0","0","70238","1.88","1.94","2","2.05","2.14","2.42","0","0","3"
"1015","105","111","116","117","121","126","0","0","140","166989.00","168289.00","175569","177969.00","184769.00","228969.00","0.00","0.00","246152.00","121539","119643","117536","115330","113338","111027","0","0","109482","1.37","1.41","1.49","1.54","1.63","2.06","0","0","2"
"1016","108","109","113","105","109","100","0","0","102","58709.28","63373.28","65221.3","98048.00","161284.00","184400.00","0.00","0.00","202524.00","73864","72241","71087","70003","69349","67887","0","0","67768","0.79","0.88","0.92","1.40","2.33","2.72","0","0","3"
"1017","70","73","77","82","93","107","0","0","120","211817.31","222233.31","231673","325157.81","337534.41","359306.72","0.00","0.00","436452.06","77720","78207","78943","80002","80735","81190","0","0","81515","2.73","2.84","2.93","4.06","4.18","4.43","0","0","5"
"1018","99","105","112","117","122","131","0","0","143","201921.13","203441.13","207685","213848.00","217624.00","225908.00","0.00","0.00","239872.00","77471","76353","75765","75224","74796","73871","0","0","73263","2.61","2.66","2.74","2.84","2.91","3.06","0","0","3"
"1019","158","175","186","199","199","199","0","0","207","625786.63","749355.38","808043","1236932.00","1150083.00","1144833.25","0.00","0.00","1411309.88","106786","106532","106192","105857","105613","105289","0","0","105299","5.86","7.03","7.61","11.68","10.89","10.87","0","0","13"
"1020","141","148","161","159","162","162","0","0","177","224151.41","271578.41","284889","306168.00","278268.31","280774.31","0.00","0.00","300583.25","120032","117950","117503","116653","115202","112581","0","0","112046","1.87","2.30","2.42","2.62","2.42","2.50","0","0","3"
"1021","214","228","245","265","277","289","0","0","314","1059172.88","1114837.88","1.19548e+006","1211372.63","2994786.75","3094292.50","0.00","0.00","3528725.50","161642","165693","169614","173144","176724","179768","0","0","182235","6.55","6.73","7.05","7.00","16.95","17.21","0","0","19"
