"id","เขต","เพศ","age0","age1","age2","age3","age4","age5","age6","age7","age8","age9","age10","age11","age12","age13","age14","age15","age16","age17","age18","age19","age20","age21","age22","age23","age24","age25","age26","age27","age28","age29","age30","age31","age32","age33","age34","age35","age36","age37","age38","age39","age40","age41","age42","age43","age44","age45","age46","age47","age48","age49","age50","age51","age52","age53","age54","age55","age56","age57","age58","age59","age60","age61","age62","age63","age64","age65","age66","age67","age68","age69","age70","age71","age72","age73","age74","age75","age76","age77","age78","age79","age80","age81","age82","age83","age84","age85","age86","age87","age88","age89","age90","age91","age92","age93","age94","age95","age96","age97","age98","age99","age100","over100","เกิดปีจันทรคติ","ทะเบียนบ้านกลาง","สัญชาติอื่น","อยู่ระหว่างย้าย","จำนวนประชากรทั้งหมด","adddate","updatedate"
"102","","หญิง","362","441","449","437","493","580","633","654","635","631","631","685","683","752","794","715","721","717","834","713","780","840","896","878","770","823","754","757","725","708","668","631","651","671","696","700","771","778","796","781","839","872","893","862","918","916","901","919","928","960","984","922","931","915","1012","881","842","760","822","733","703","671","670","501","566","523","473","471","481","398","365","306","252","241","234","223","200","204","145","186","158","160","155","119","94","85","71","60","49","52","35","23","30","19","6","6","7","5","4","2","1","4","0","274","310","831","55817","2020-11-18","2020-11-18"
"101","บางบอน","ชาย","402","464","495","520","591","536","669","641","639","678","664","723","700","770","771","739","799","744","819","747","760","844","889","831","838","787","826","704","729","691","693","620","626","659","655","614","695","695","720","728","737","741","723","724","716","761","782","804","854","768","836","827","800","767","876","798","762","659","715","589","581","573","505","427","461","409","417","356","326","312","275","211","185","151","162","143","139","138","119","103","103","77","82","53","57","27","36","33","23","16","18","15","9","8","2","4","1","2","6","2","2","1","0","315","351","912","51102","2020-11-18","2020-11-18"
"100","","หญิง","463","543","527","565","604","602","657","671","639","675","667","715","734","737","723","755","748","740","856","720","780","968","936","987","864","803","890","862","819","838","847","781","777","882","880","980","945","1055","1131","1048","1085","1108","1060","1057","1096","1048","1097","1184","1170","1087","1127","1122","1021","1046","1081","1079","954","967","956","881","875","803","760","747","734","631","596","594","587","527","458","395","361","364","340","307","261","298","196","231","218","213","156","166","119","116","99","74","77","58","53","34","22","18","15","9","7","3","3","5","4","6","0","342","285","40","64847","2020-11-18","2020-11-18"
"99","ทุ่งครุ","ชาย","442","599","558","609","662","673","676","666","630","680","695","748","743","777","813","734","790","772","858","777","823","850","854","880","924","848","812","807","770","746","784","699","718","805","853","889","897","917","1018","1020","934","974","1015","937","940","883","884","946","920","912","895","880","913","916","884","799","853","772","774","695","683","632","614","516","527","515","448","409","373","394","343","261","272","230","223","199","170","183","126","148","120","120","106","102","74","60","49","35","32","23","19","16","11","6","7","3","2","4","0","3","2","4","0","430","358","55","57449","2020-11-18","2020-11-18"
"98","","หญิง","245","287","288","306","296","328","354","349","343","396","391","399","424","392","414","399","401","416","530","494","484","560","573","610","577","553","579","535","585","532","531","477","507","522","556","562","578","584","590","621","619","622","630","622","681","667","684","726","749","723","739","706","698","751","748","777","739","693","753","714","716","686","618","598","603","527","497","429","434","384","328","299","281","240","216","224","208","198","148","147","182","134","130","123","99","92","101","77","65","53","46","27","25","20","10","19","4","4","1","4","3","2","0","102","221","40","41974","2020-11-18","2020-11-18"
"97","ทวีวัฒนา","ชาย","230","307","293","319","341","355","394","411","381","393","398","415","432","399","465","492","440","406","489","417","469","541","580","625","554","572","532","538","504","494","511","462","527","512","483","496","491","491","539","590","542","536","532","532","514","526","548","561","553","568","576","526","550","573","601","582","599","568","525","593","542","519","475","480","449","422","364","373","307","296","258","239","209","196","161","146","140","121","109","121","101","101","88","68","62","61","45","18","32","16","18","20","5","10","7","7","4","5","5","3","2","3","0","134","241","44","36420","2020-11-18","2020-11-18"
"96","","หญิง","247","306","299","300","349","346","401","406","364","404","407","417","457","441","439","435","433","515","549","470","510","577","611","644","588","616","651","689","607","679","676","641","648","721","761","709","737","806","804","837","778","784","795","772","741","718","773","788","793","804","805","750","783","783","781","816","832","769","723","713","708","689","599","543","616","525","513","522","457","447","363","332","322","272","282","283","236","232","203","225","207","176","179","153","137","104","111","97","69","53","66","56","34","32","29","15","16","16","7","12","3","14","0","532","303","200","47988","2020-11-18","2020-11-18"
"95","บางนา","ชาย","242","306","323","355","343","377","417","424","424","450","434","454","491","501","495","470","521","462","504","490","537","619","695","642","603","601","628","653","644","557","609","516","561","587","637","662","633","678","667","671","642","699","655","635","616","643","589","632","640","623","648","655","639","579","692","685","606","596","631","620","539","479","467","454","401","390","357","359","359","344","299","218","233","200","191","184","154","146","140","132","143","95","90","83","92","79","61","48","43","32","39","24","19","13","11","12","9","8","5","9","3","12","0","869","492","215","42160","2020-11-18","2020-11-18"
"94","","หญิง","895","998","1067","1113","1148","1139","1269","1230","1180","1256","1233","1196","1263","1225","1294","1265","1332","1265","1414","1218","1324","1423","1500","1537","1423","1424","1418","1412","1398","1360","1311","1334","1506","1576","1564","1663","1858","1940","1965","1981","1962","1931","1999","1932","1953","1864","2001","2125","2080","1991","2052","1938","1893","1893","1710","1514","1511","1345","1346","1242","1017","954","906","843","764","705","672","608","583","527","493","447","389","351","326","275","302","286","222","245","218","186","204","150","120","117","109","97","69","54","54","44","21","19","21","12","18","5","3","0","2","7","0","474","217","70","104405","2020-11-18","2020-11-18"
"93","คลองสามวา","ชาย","1000","1023","1091","1182","1190","1180","1304","1332","1192","1261","1239","1335","1367","1359","1401","1426","1277","1263","1391","1331","1349","1366","1429","1382","1305","1292","1310","1221","1241","1096","1169","1166","1236","1338","1279","1447","1505","1604","1562","1666","1572","1646","1606","1632","1647","1594","1739","1741","1816","1795","1856","1737","1628","1586","1495","1433","1249","1209","1152","1026","897","862","780","691","646","595","513","450","453","410","340","316","265","226","241","221","207","196","165","168","121","113","95","80","73","63","55","38","38","28","19","12","15","15","7","3","4","1","1","2","3","3","0","530","302","85","93614","2020-11-18","2020-11-18"
